slug,humandate,start,end,tags,venue,address,latitude,longitude,url
2016-01-18-leeds,"Jan 18-20, 2016",2016-01-18,2016-01-20,SWC,NERC / University of Leeds,"School of Earth and Environment, University of Leeds, Leeds, LS2 9J",53.8057,-1.5557,https://andreww.github.io/2016-01-18-leeds/
2016-01-11-dundee,"Jan 11-12, 2016",2016-01-11,2016-01-12,SWC,University of Dundee,"Room 1G04, Dalhousie Building, University of Dundee, Dundee, Scotland, UK, DD1 4HN",56.459249,-2.981933,https://widdowquinn.github.io/2016-01-11-dundee/
2016-01-11-huddersfield,"Jan 11-12, 2016",2016-01-11,2016-01-12,SWC,The University of Huddersfield,"School of Applied Sciences, Huddersfield, HD1 3DH",53.642603,-1.778514,https://callaghanmt.github.io/2016-01-11-huddersfield/
2017-01-09-dundee,"Jan 09-10, 2016",2016-01-09,2016-01-10,SWC,University of Dundee,"Room 1G04, Dalhousie Building, University of Dundee, Dundee, Scotland, UK, DD1 5EN",56.459409,-2.981928,https://widdowquinn.github.io/2017-01-09-dundee/
2016-01-06-bristol,"Jan 06-08, 2016",2016-01-06,2016-01-08,SWC,NERC / University of Bristol,"School of Earth Sciences, University of Bristol, Wills Memorial Building, Queens Road, Bristol BS8 1RJ. United Kingdom",51.456,-2.604,https://andreww.github.io/2016-01-06-bristol/
2015-12-15-Southampton,"Dec 15-15, 2015",2015-12-15,2015-12-15,SWC,University of Southampton,"Room 2207 & Room 2209, Building 85",50.934345,-1.396227,https://southampton-rsg.github.io/2015-12-15-Southampton/
2015-12-14-Portsmouth,"Dec 14-15, 2015",2015-12-14,2015-12-15,SWC,University of Portsmouth,"University of Portsmouth, Room DS1.09, Dennis Sciama Bldg, Burnaby Road, Portsmouth, P01 3FX",50.797656,-1.098289,https://hpcarcher.github.io/2015-12-14-Portsmouth/
2015-12-wise-uk,"Dec 14-15, 2015",2015-12-14,2015-12-15,"SWC, WiSE",ARCHER and SSI workshop for Women in Science and Engineering,"Atlas and Collab1 rooms, Kilburn Building, Oxford Road,  M13 9PL Manchester",53.467293,-2.233876,https://apawlik.github.io/2015-12-wise-uk/
2015-11-25-edinburgh,"Nov 25-26, 2015",2015-11-25,2015-11-26,SWC,The University of Edinburgh,"Room 4325D, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh, EH9 3FD.",55.921862,-3.173654,https://marioa.github.io/2015-11-25-edinburgh/
2015-11-23-instructor-training-manchester,"Nov 23-24, 2015",2015-11-23,2015-11-24,TTT,University of Manchester,"Atlas Rooms 1 and 2, Kilburn Building, School of Computer Science, University of Manchester, Oxford Road, Manchester M13 9PL",53.467674,-2.233924,https://apawlik.github.io/2015-11-23-instructor-training-manchester/
2015-11-16-manchester-codima,"Nov 16-17, 2015",2015-11-16,2015-11-17,SWC,CoDiMa - University of Manchester,"University Place, Oxford Road, Manchester",53.466758,-2.233717,https://kkwakwa.github.io/2015-11-16-manchester-codima/
2015-11-09-london-royal-h-,"Nov 11-11, 2015",2015-11-11,2015-11-11,SWC,"Royal Holloway, University Of London","Royal Holloway, Egham Hill, Egham TW20 0EX",51.426608,-0.567005,https://kkwakwa.github.io/2015-11-09-london-royal-h-/
2015-11-10-UCL_software_carpentry,"Nov 10-11, 2015",2015-11-10,2015-11-11,SWC,University College London,"ISD Training Room B07, 1-19 Torrington Place, London WC1E 7HB",51.522582,-0.134352,https://ucl-rits.github.io/2015-11-10-UCL_software_carpentry/
2015-11-09-culham,"Nov 09-10, 2015",2015-11-09,2015-11-10,SWC,Culham Centre for Fusion Energy,"Abingdon, Oxfordshire, OX14 3DB, UK",51.6576076,-1.2287899,https://kpalamartchouk.github.io/2015-11-09-culham/
